id	Tigrigna_translated_text	label
2	"?? ???? ?????? ????? ??? ??? ???? ??? ?????? ??? ??? ???? (Mark Meadows)? ??’? ??? ??? ?? ????? ??? (tax cuts) ???? ???? ??? ???? ?? ??????? ???? ?? ""???? ????"" (fiscal conservative) ????? ????? ?? 2018 ?? ?????? ????? ????? ?????

??? ??????

?? ??? ???? ??????? ?????? ?? ?? 2018 ???? ??? ?????? ???? ???? ?????? ?????? ??? ???? ????? ????? ?? ?? ?????? ????? ???? ????? ???? ??????? ????? ??? ?????? ???? ????

???? ?????? ??? ????? ??? ????? ?? ?????? ????? ?? ??? ?? ?????? ?????? ?? 1.5 ????? ??? ?? ?? ???? ?????? ?? ???? ???? ""???? ?????"" ??? ??? ?????

?? ????? ??? ????? ?? ??? ?? ??? ? ?? 2018 ?? ???? ??? ? ?? ??? ????  ????? ???? ????? ????? ???? ?? ???? ??? ???

??????? ?? DACA?? ?? ?? ??? ??? ?? ??? ""?????"" (Dreamers) — ??? ??????? ?? ???? ???? ?????? — ????? ????? ?????? ???? ??? ?????? ?????? ???? ???? ?? ???? ?? ???-??? ???? ???

??? ??? ????? ???? ?? ??? ???? (The House) ?????? ????? ??? ??? ???? 81 ???? ??? ?? ??? ??? ???? ???? ??? ?? ?? ??? (The Senate) ???? ??? ???"	1
3	"?? ???? ?????? ????? ??? ???? ?????? ????? ???? (Lindsey Graham)? ?? ???? ???? ???? ??? (Robert Mueller) ???? ?? ???? ???-???? ??? ?? ??? 2016? ??? ??? ?? ???? ??-?????? ???? ????? ?????

??? ??????

??? ????? ???? ??’? ?? ???? ????? ???? ??????? ?? ???? ?? ???? ???? ??????? ???? ???? ?? ??? ??? ????? ??? ???? ????? ????? ""?? ???? ?? ??? ????? ??? ???? ??"" ??? ?? ??????

????? ???????? ?? ???? ?? ??? ?? ???? ??? ??? ???? ???? ?????? ?? ????? ???? ???? ????? ??? ""???"" (fair) ???? ?????? ???? ???? ???? ????? ?? ??? ?? ???? ???? (collusion) ??????? ?????

?? ??? ??? (Dossier)? ???? ????? ????? ??? ?? ?????? ??? ???? ????? ??? ???? ???????? ????? ?????? ????? ??? ????? ?? ???? ?? ?? ???? ?? ?? ???? ?? ??? ??????? ???????

???? ???? FBI? ????? ???? ?? ??? ???? (New York Times)? ???? ?? ???? ?? ????? ??? ?????? ??? ?????? ????? ?? ???? ????? ??? ???? ??? ????? ???? ???? ????? ??? ???????? ????? ??? ???? ????? ??? ?????"	1
4	"?????? ???? ????? ????? ???-???? ??? ?? ??? ???? ????? ?? ??? ???? ???? ??? (Robert Mueller)? ""??? ????? ?????? ??"" ??? ???? ????? ???? ??? ????? ?? ???? ??? ??? ???? ?????? ??????? ????

??? ??????

???? ??? ????? ??’? ?? ?? ???? ???? ???? ??? ????? ????? ??????? ???? ?? ??? ???? ???? ????? ???? ?? ??? ???? (New York Times) ???? ""??? ????? ???? (collusion) ??????"" ??? ?? ??? ??????

??? ?? ????? ???? ?? ???? ???? ??? ???? ""???? ??? ???? ???"" ??? ????? ????? ?? ??? ?? ??????? ?? ?????? ????

?? ????? ???? ?????

????-????? ???????? ?? ????? ????? ?????? ?????? ?????? ???’?? ??? ??????? ?? ???? ???? ?????? ????? ??? ????? ?????

??? ???? ??? ????? ??? ?? ??? ??? ??? ??? ????? ????? ?? ??? ??? ?? ??? ???? ??? ???? ?? ?????? ?? ?? ?? ????? ???? ?? ????? ????

???? NAFTA? ?? ???? ????? ???? ?? ?? ??? ???? (NAFTA)? ???? ""????? ???? ????????? ?? ??? ???? ???? ??"" ??? ??????"	1
5	"???? ???? ""???? ??? ???? ????? ??? ???? ???!""

???? ???? ?????? ???? (Global Warming)? ""?? ????? ??? ???? ?? ??? ?? ???? ??? ??? ??? ???? ???? ??? ???? ?????? ?????? ???? ?????? ?????? ???? ???? ?? ??????? ?? ‘???’ ?? ??? ?????? ??? (Global Warming) ??? ???????? ???? ??? ???? ????!"	1
6	"?? ???-??? ????? ??? ???-??? ?? ??? (John Merrill)? ??’? ?? ????? ???? ?? ?? (Roy Moore) ????? ??????? ?????? ?? ??? (Doug Jones) ?? ???? ??? ??? ??? ?? ????? ????

??? ??????

???? ???? ?? ??? ?? ????? (CNN) ?? ???? ?? ??? ????? ?? ??? ???? ?? ????? ?? ??? ????? ??? ????

??? ????? ?? ???? ????? ?? ??? ??? ?????? ???? ????? ?? ??? ???? ??? ??? ?? ?? ??? ??? ????? ???? ???

???-???? ?? ??? ?? 30 ??? ?? ????? ????? ???? ????? (groping) ??? ??? ???? ????? ???? ?? ???"	1
7	"???? ???? (ISIS)? ""?20 ?? — ???? ???? ???? ???? — ???? 35,000 ????? ???? ?? ???? ???? ???? 17,500 ????? ???? ???? ?? ??? ????? ??? 21 ???? ??? ??? ???? ???? 1,000 ?????? ??? 1,900 ????? ???? ??? ?? ??? ???? ???? ?????""

??? ?? ????? ??? ""?? ???? ????? ??? ????? ??? ??? ?? ??? 2 (West Palm Beach Fire & Rescue #2) ?? ???? ????? ??? ???? ???? ????? ????? ???? ???? ??? ????? ????? ??? ?? ?? ??? ???? (paramedics)? ???’?? ???? ???? ???? — ??? ??? ???? ??? ???!""

???? MS-13? ""?? ??? ???? ????? ?? ??? ?????? MS-13 ?????? ???? ????? ???? ???? ?83% ??? ???"""	1
8	"?? ?? ?????? ?? ?? ??? ????? ????? ???? ???? ???? (Steven Mnuchin) ??? ??? ??? ????? ?? ??? ??? ???? ????? ????

??? ??????

?? ???? ???? ??? ???? ????? (Robert Strong) ????? ?? 45 ??? ??-?????? ??? (psychologist)? ?? ???? ????? ???? ?? ???? ?? ???? ?? ???? ????

????? ????? ?? ?? ?? ????? ?????? ?????? ???? ????? ??? ?? ??? ?? ?????? ????? ???? ?? ???? ???? ????? ??? ""???? ???? ???? ???"" ??? ?? ????

??? ????? ??'? ?? ???? ?????? (Secret Service) ????? ????? ???????? ??? ??? ?? ??????? ???? ?? ???? ??? ?? ????? (LAPD) ?? ?????? ?? ??? ????? ?? ??? ??? ?????? ??? ???? ???? ?????? ?????

??? ???? ?????? ????? ??? ???? ???? ?????? ""???? ????? ?????? ?? ?? ??? ??? ??? ?? ??? ?? ??????? ???"" ??? ?? ????"	1
9	"???? ????? ???????? ?? ???? ????

?? ?????? ???? ????? ???? ?? ???? ???? ???? ???????? ??? ??? ?? ?? 1 ???? ?? ???? ??????? ???? ??? ??? ?????

?? ??? ??? ???? ???? ?? ???? ?? ??? ??? ??? ???????? ??? ?????? ???? ???? ??? ??? ?? ??????? ???? ?? ?? ??? ??? ???

?? ??? ??? ???? ????? ??????? ????? ???? ???????? ??? ??? ?? ???? ?????? ???? ??? ??????? ????? ??? ????? ??????? ????

?? ????? ??? ?? 1 ??????? ???? ?? ????? ?????? ???????? ?????? ?? ??? ???? ???? ???? ?? ??? ?? ?? ????? ????????

?? ?????? ???? ?? ??? ????? ?? ??? ?? ????????? ???? ???? ????? ????? ???? ????? ????? ???? ???? ??? ????

???? ?? ???? ??? ???? ???? ???? ???????? ??? ??? ??????? ???? ?? ?? ??? ??????? ???? ???? ???? ????

????? ?? ????? ????? ????? ???? ?? ???? ??? ????? ???? ?? ????"	1
10	"?????? ?? ??? ??? ?????? ?? ???? ????? ????? ??? ?????? ??? ????? ???

??? ?? ??? ???? ???? ??? ??? ???? ???? ?? ?????? ????? ???? ??? ??? ???? ?? ?? ??? ??? ??? 10 ???? ??? ?? ?????? ?????? ???

?? ???? ?? ?? ??? ???? ??? ????? ?? ??? ????? ????? ???? ????? ?? ??? ??? ?? ??? ?? ??? ??? ???

??? ???? ?? ?????? ????? ?????? ?? ???? ???? ????? ?????? ???? ?? ??? ????? ???? ???? ?????? ??? ?????? ?????? ??? ?????

?????? ????? ????? ??? ??? ????? ???? ??????? ?????? ?? 2018 ????? ?????? ???? ????? ????? ????? ?? ???? ?? ??? ???

????? ???? ?? ?? ??? ???? ??? ?? ???? ?? ??? ?? ??? ??? ????? ?????? ???? ?? ????? ????? ????? ??????? ???? ????? ??? ???? ??????

?????? ????? ????? ???? ???????? ??? ??? ???? ??? ????? ???? ????? ??????? ?? ???? ?????"	1
11	"???? ?? ??? ?? ??? ??? ????? ??????

?????? ???? ????? ?? 1.5 ????? ??? ???? ?? ??? ??? ?? ?????? ?? ???? ??? ???? ???? ?? ?? ??? ??????

???? ?? ?? ???? ""??? ???"" ??? ???? ?????? ?? ???? ??? ???? ?? ?? ??? ?? ??? ?????

?? ??? ?? ??? ?? ???? ????? ??? ?? 35 ????? ?? 21 ????? ???? ???? ???????? ?????? ??? ???? ?? ??? ???? ???? ???

?????? ????? ?? ?? ?? ?? ???? ???? ????????? ???? ???? (bonus) ???? ???? ???? ????? ?? ???? ?????? ????? ??????

????? ?????? ?? ?? ?? ?????? ??? ????? ?? ??? ???? ??? ?? 1.5 ????? ??? ?? ????? ?? ???? ???????

?????? ???? ????? ???? ??? ?????? ??????? ???? ?? ????? ??? ???? ??? ?? ?? ??? ?? 19 ???? ???? ?? ???? ??????? ???? ??? ???? ????? ?? ?? ???? ??????????

?? ?????? ?? ???? ????? ????? ?? ??? ???? ???? ???? ????? ?????"	1
