Tigrigna_translated_text,label
"ኣብ ሕቡራት መንግስታት ኣመሪካ፡ መራሒ ናይቲ ዓቃባዊ ክፍሊ ሪፓብሊካን ዝኾኑ ማርክ ሜዶውስ (Mark Meadows)፡ ዋላ’ኳ ኣብዚ ወርሒ እዚ ንምንካይ ግብሪ (tax cuts) ዝውዕል ብርቱዕ ወጽኢ ሃገራዊ ዕዳ እንተደገፉ፡ ባዕሎም ግን ""ቁጠባዊ ዓቃባዊ"" (fiscal conservative) ከምዝኾኑ ገሊጾም። ኣብ 2018 ድማ መንግስታዊ ወጽኢታት ንኽንከይ ጸዊዖም።

ቀንዲ ነጥብታት፦

ናይ ባጀት ባእሲ፦ ሪፓብሊካንን ደሞክራትን ኣብ ናይ 2018 ሃገራዊ ባጀት ንምስምማዕ ይቃለሱ ኣለዉ። ሪፓብሊካን ወተሃደራዊ ወጽኢ ክውስኽ ይደልዩ፤ ደሞክራት ድማ ከም ትምህርቲ፡ ምርምርን ጥዕናን ዝኣመሰሉ ሰብኣዊ ኣገልግሎታት ተመሳሳሊ ወጽኢ ክውሰኸሎም ይሓትቱ ኣለዉ።

ነቐፌታ ደሞክራት፦ ወኪል ደሞክራት ጆሴፍ ክራውሊ፡ እቲ ሪፓብሊካን ዘሕለፍዎ ናይ ግብሪ ሕጊ ንትካላትን ሃብታማትን ኢሉ 1.5 ትሪልዮን ዶላር ዕዳ ከም ዘስዕብ ብምግላጽ፡ ነቲ ሜዶውስ ዘቕረቦ ""ቁጠባዊ ሓላፍነት"" ዝብል ሓሳብ ነቒፍዎ።

ናይ ማሕበራዊ ሓገዝ መደባት፦ ኣፈ ጉባኤ ፖል ራያን ፡ ኣብ 2018 ከም ረድኤት መግቢ ን ናይ ጥዕና መድሕን  ዝኣመሰሉ መደባት ንምቕናስ ቀዳምነት ክወሃቦ ከም ዝኽእል ኣሚቱ ኣሎ።

ስደተኛታትን ሕጊ DACAን፦ እቲ ናይ ባጀት ክትዕ ምስ ጉዳይ ""ድሪመርስ"" (Dreamers) — ማለት ብህጻንነቶም ናብ ኣመሪካ ዝኣተዉ ስደተኛታት — ተኣሳሲሩ ይርከብ። ፕረዚደንት ትራምፕ ነዞም ስደተኛታት ንምሕጋዝ፡ ምትካል መንደቕ ዶብ ሜክሲኮ ከም ቅድመ-ኩነት ይሓትት ኣሎ።

ሓገዝ ድሕሪ ባህርያዊ ሓደጋ፦ ቤት ምኽሪ ወከልቲ (The House) ንፍሎሪዳ፡ ቴክሳስን ፖርቶ ሪኮን ዝውዕል 81 ቢልዮን ዶላር ናይ ህጹጽ እዋን ረድኤት ኣጽዲቑ ኣሎ፡ እዚ ድማ ሴነት (The Senate) ክድግፎ ይጽበ ኣሎ።",1
"ኣብ ሕቡራት መንግስታት ኣመሪካ፡ ጽሉል ሴናተር ሪፓብሊካን ሊንድሰይ ግራሃም (Lindsey Graham)፡ እቲ ብፍሉይ መርማሪ ሮበርት ሙለር (Robert Mueller) ዝምራሕ ዘሎ መርመራ ጣልቃ-ምእታው ሩስያ ኣብ ምርጫ 2016፡ ብዘይ ዝኾነ ናይ ፖለቲካ ኢድ-ኣእታውነት ክቕጽል ከምዘለዎ ገሊጾም።

ቀንዲ ነጥብታት፦

ደገፍ ንመርመራ ሙለር፦ ዋላ’ኳ ገለ ደገፍቲ ትራምፕን ኣባላት ሪፓብሊካንን ነቲ መርመራ ደው ንክብል ዝጽውዑ እንተሃለዉ፡ ሴናተር ግራሃም ግን ሙለር ስርሑ ንክሰርሕ ዕድል ክውሃቦ ከምዘለዎ ገሊጾም። ""እዚ መርመራ እዚ ብዘይ ፖለቲካዊ ጽልዋ ክቕጽል እዩ"" ክብሉ ድማ ተዛሪቦም።

ክስታትን መርመራታትን፦ እቲ መርመራ ኣብ ልዕሊ ገለ ኣባላት ወፈራ ምርጫ ትራምፕ ክስታት እናመስረተ ኣብ ዝርከበሉ እዋን፡ ትራምፕ ብወገኖም ሙለር ""ቅኑዕ"" (fair) ክኸውን ከምዝጽበዩ ገሊጾም ኣለዉ። ሩስያን ትራምፕን ግን ዝኾነ ናይ ምስጢር ስምምዕ (collusion) ከምዘይነበረ ይኽሕዱ።

ናይ ስለያ ሰነድ (Dossier)፦ ሴናተር ግራሃም፡ ሚኒስትሪ ፍትሒ ነቲ ክሪስቶፈር ስቲል ዘዳለዎ ምስጢራዊ ሰነድ ብኸመይ ከምዝተጠቐመሉ ክምርመር ከምዝደልዩ ሓቢሮም። ይኹን እምበር፡ እዚ ጥርጣረ እዚ ነቲ ዝካየድ ዘሎ ዓቢ መርመራ ደው ከብሎ ከምዘይግባእ ኣስሚሮምሉ።

መበገሲ መርመራ FBI፦ ብመሰረት ጸብጻብ ኒው ዮርክ ታይምስ (New York Times)፡ መበገሲ እቲ መርመራ እቲ ዝተጠቐሰ ሰነድ ዘይኮነስ፡ ጆርጅ ፓፓዶፖሎስ ዝተባህለ ናይ ትራምፕ አማኻሪ፡ ሩስያ ብዛዕባ ሂላሪ ክሊንተን ዘበላሹ ሓበሬታ ከምዘለዋ ንሓደ ኣውስትራሊያዊ ዲፕሎማት ድሕሪ ምግላጹ ዝተጀመረ ምዃኑ ተሓቢሩ።",1
"ፕረዚደንት ዶናልድ ትራምፕ፡ ብዛዕባቲ ጣልቃ-ምእታው ሩስያ ኣብ ምርጫ ኣመሪካ ዝምርምር ዘሎ ፍሉይ መርማሪ ሮበርት ሙለር (Robert Mueller)፡ ""ቅኑዕ ኣተሓሕዛ ክገብረለይ እዩ"" ዝብል እምነት ከምዘለዎ ገሊጹ። ይኹን እምበር፡ እቲ መርመራ ክሳብ መዓስ ክቕጽል ከምዝኽእል ከምዘይፈልጥ ሓቢሩ።

ቀንዲ ነጥብታት፦

እምነት ኣብቲ መርመራ፦ ዋላ’ኳ ገለ ካብ ደገፍቱ ንጉጅለ መርመራ ሙለር ብኣድልዎ ይኽስዎም እንተሃለዉ፡ ትራምፕ ግን ሙለር ፍትሓዊ ክኸውን ከምዝጽበ ንጋዜጣ ኒው ዮርክ ታይምስ (New York Times) ገሊጹ። ""ዝኾነ ምስጢራዊ ስምምዕ (collusion) ኣይነበረን"" ክብል ድማ ደጊሙ ኣረጋጊጹ።

ጽልዋ እቲ መርመራ፦ ትራምፕ እቲ መርመራ ንነዊሕ እዋን ምጽንሑ ""ንሃገር ሕማቕ መልክዕ ይህባ"" ክብል እንከሎ፡ ንደገፍቱ ግን ዝያዳ ከም ዘበራትዖምን ከም ዘሓየሎምን ገሊጹ።

ናይ ፖለቲካን ቁጠባን ጉዳያት፦

መሰረተ-ልምዓትን ስደተኛታትን፦ ምስ ደሞክራት ተሓባቢሩ መገድታትን ድልድላትን ንምጽጋን፡ ከምኡ’ውን ነቶም ብህጻንነቶም ናብ ኣመሪካ ዝኣተዉ ስደተኛታት ንምሕጋዝ ተስፋ ከምዘለዎ ተዛሪቡ።

ንግዲ ቻይናን ሰሜን ኮርያን፦ ቻይና ኣብ ልዕሊ ሰሜን ኮርያ ጸቕጢ ክትገብር ብምባል፡ ኣብ ጉዳይ ንግዲ ምስ ቻይና ዝነበሮ ተሪር መርገጺ ከም ዘለላበጦ፡ ግን ድማ በቲ ዝተረኽበ ውጽኢት ከም ዝተሓዘነ ገሊጹ።

ስምምዕ NAFTA፦ ምስ ካናዳን ሜክሲኮን ዝግበር ዘሎ ናይ ንግዲ ስምምዕ (NAFTA)፡ ትራምፕ ""ትኽክለኛ ስምምዕ እንተዘይተገይሩ ኣብ ክልተ ሰከንድ ክስርዞ እየ"" ክብል ኣጠንቂቑ።",1
"ሓባራዊ ዓወት፦ ""ብሓባር ኮይና ኣመሪካ እንደገና ዓባይ ንገብራ ኣለና!""

ብዛዕባ ክሊማን ዓለምለኻዊ ሙቐትን (Global Warming)፦ ""ኣብ ምብራቓዊ ክፋል ሃገር፡ ኣብ ታሪኽ እቲ ዝዝሓለ ዋዜማ ሓድሽ ዓመት ክኸውን ይኽእል እዩ። ሃገርና ንምክልኻሉ ትሪልዮናት ዶላራት ክትከፍለሉ ዝነበረት፡ ካልኦት ሃገራት ግን ዘይከፍላሉ፡ እቲ ‘ጽቡቕ’ ናይ ቀደም ዓለምለኻዊ ሙቐት (Global Warming) ቁሩብ እንተንጥቀመሉ ምሓሸ። ጽቡቕ ጌርኩም ተኸደኑ!",1
"ኣብ ክፍለ-ሃገር ኣላባማ፡ ጸሓፊ ክፍለ-ሃገር ጆን መሪል (John Merrill)፡ ዋላ’ኳ እቲ ተቐዳዳሚ ዝነበረ ሮይ ሙር (Roy Moore) ተቓውሞኡ እንተቕረበ፡ ንደሞክራት ዶግ ጆንስ (Doug Jones) ከም ተዓዋቲ ናይቲ ምርጫ ሰነድ ከም ዘረጋግጽ ሓቢሩ።

ቀንዲ ነጥብታት፦

ምጽዳቕ ዓወት፦ ጆን መሪል ምስ ሲኤንኤን (CNN) ኣብ ዝገበሮ ናይ ስልኪ ዝርርብ፡ ዶግ ጆንስ ብወግዒ ከም ዝተዓወተ ሎሚ ሓሙስ ከረጋግጽ ምዃኑ ገሊጹ።

ሕጋዊ ተቓውሞ፦ እቲ ዓቃባዊ ተወዳዳሪ ሮይ ሙር፡ ኣብቲ ዘይተጸበዮ ስዕረት ዘጋጠመሉ ናይ ሰኔት ምርጫ፡ ረቡዕ ምሸት ናብ ቤት ፍርዲ ሕጋዊ መመልከቻ ኣእትዩ ኣሎ።

ድሕረ-ባይታ፦ ሮይ ሙር፡ ወዲ 30 ዓመት ከሎ ንኣዋልድ ብኣግባብ ዘይኮነ ኣተሓሕዛ (groping) ነኪኡ ዝብል ክስታት ክቐርበሉ ዝጸንሐ ሰብ እዩ።",1
"ብዛዕባ ኣይሲስ (ISIS)፦ ""ብ20 ጥሪ — ትራምፕ ስልጣን ዝሓዘሉ መዓልቲ — ኣስታት 35,000 ተዋጋእቲ ኣይሲስ ኣብ ኢራቅን ሶርያን ኣስታት 17,500 ትርብዒት ማይልስ ዝኸውን ቦታ ሒዞም ነይሮም። ክሳብ 21 ታሕሳስ ግን፡ እቶም ዝተረፉ ኣስታት 1,000 ተዋጋእቲ፡ ዳርጋ 1,900 ትርብዒት ማይልስ ጥራይ ከም ዝሓዙ ሰራዊት ኣመሪካ ይግምት።""

ዑደት ኣብ መጥፋእቲ ሓዊ፦ ""ካብ መደበር መጥፋእቲ ሓውን ረድኤትን ዌስት ፓልም ቢች ቁጽሪ 2 (West Palm Beach Fire & Rescue #2) ሕጂ ወጺአ። ንኹላትና ብዙሕ ዝሰርሑ ብሉጻት ሰብኡትን ኣንስትን ወኪሎም ንዝመጹ ሰባት ተረኺበ። መጥፋእቲ ሓዊ፡ ሰብ ሞያ ህጹጽ ሕክምና (paramedics)፡ ከምኡ’ውን ቀዳማይ ረድኤት ወሃብቲ — ከመይ ዝበሉ ዘደንቁ ሰባት እዮም!""

እስራት MS-13፦ ""ኣብ ትሕቲ ምሕደራ ትራምፕ፡ ምስ ጉጅለ ገበነኛታት MS-13 ዝተተሓሓዙ ሰባትን ኣባላትን ዝግበር እስራት ብ83% ወሲኹ ኣሎ።""",1
"ኣብ ሎስ ኣንጀለስ፡ ሓደ ሰብ ንቤት ሚኒስተር ፋይናንስ ኣመሪካ ስቲቨን ምኑቺን (Steven Mnuchin) ብናይ ፈረስ ፍርሲ ዝተመልአ ናይ ልደት ህያብ ብምሃብ ተቓውሞኡ ገሊጹ።

ቀንዲ ነጥብታት፦

እቲ ተግባር ዝፈጸመ ሰብ፦ ሮበርት ስትሮንግ (Robert Strong) ዝተባህለ ወዲ 45 ዓመት ስነ-ኣእምሮኣዊ ክኢላ (psychologist)፡ ነቲ ብፍርሲ ዝተመልአ ፓርሰል ኣብ ኣፍደገ ቤት ምኑቺን ከም ዘቐመጦ ኣሚኑ።

ምኽንያት ተቓውሞ፦ እቲ ሰብ ነዚ ዝገበረሉ ምኽንያት፡ ፕረዚደንት ትራምፕ ዝፈረመሉ ሓድሽ ናይ ግብሪ ሕጊ ንደካታትን ድኻታትን ይጎድእ እዩ ብዝብል እምነት ንምቅዋም እዩ። ""ተቓውሞ ኣስሓቒ ክኸውን ኣለዎ"" ክብል ድማ ገሊጹ።

ሕጋዊ ስጉምቲ፦ ዋላ'ኳ ናይ ምስጢር ኣገልግሎት (Secret Service) ንሮበርት ስትሮንግ እንተመርመሮ፡ ክሳብ ሰኑይ ግን ዝተመስረተሉ ወግዓዊ ክሲ የለን። ፖሊስ ሎስ ኣንጀለስ (LAPD) ከም ዝገለጽዎ፡ እቲ ህያብ ንመንነት ሰብ ሓደጋ ክሳብ ዘየውረደ፡ ገበን ተባሂሉ ክቑጸር ኣይክእልን ይኸውን።

ናይቲ ደብዳበ መልእኽቲ፦ ስትሮንግ ኣብቲ ፓርሰል ዝጸሓፎ መልእኽቲ፡ ""ሚስተር ምኑቺንን ትራምፕን፡ ነቲ ናይ ልደት ህያብ ዝኾነ ናይ ግብሪ ሕጊ ንመልሰልኩም ኣለና"" ዝብል እዩ ነይሩ።",1
"ብዛዕባ ኣባልነት ትራንስጀንደር ኣብ ሰራዊት ኣመሪካ

ኣብ ዋሽንግተን ዝርከብ ፈደራላዊ ይበጻሕ ቤት ፍርዲ፡ ምሕደራ ትራምፕ ትራንስጀንደር ዝኾኑ ሰባት ካብ ጥሪ 1 ጀሚሮም ናብ ሰራዊት ንከይጽንበሩ ዘቕረቦ ጠለብ ውድቂ ገይርዎ።

እዚ ውሳነ እዚ፡ ሰራዊት ኣመሪካ ካብ ዝመጽእ ዘሎ ሓድሽ ዓመት ጀሚሩ ትራንስጀንደር ዝኾኑ ተመልመልቲ ክቕበል ዘገድድ ኣብዚ ሰሙን እዚ ዝተመሓላለፈ ካልኣይ ናይ ቤት ፍርዲ ውሳነ እዩ።

ኣብ መላእ ሃገር ዝርከቡ ኣርባዕተ ፈደራላውያን ዳኛታት፡ ትራምፕ ትራንስጀንደር ዝኾኑ ሰባት ኣብ ሰራዊት ንከይሳተፉ ዘውጽኦ እገዳ ንከይትግበር ዕንቅፋት ዝኾኑ ትእዛዛት ኣመሓላሊፎም ኣለዉ።

እቲ ምሕደራ፡ ክሳብ ጥሪ 1 ሰራሕተኛታት ሰራዊት ኣብ ሕክምናዊ መዐቀኒታት ትራንስጀንደር ንምልምማድ ግዜ የለን ብምባል ተጣቢቑ ነይሩ፤ ቤት ፍርዲ ግን ነቲ መከራኸሪ ኣይተቐበሎን።

ኣብ ካሊፎርኒያ ዝርከብ ዳኛ ጂሰስ በርናል፡ እዚ እገዳ እዚ እንተዘይተዓጊቱ ኣብቶም ኣባላት ሰራዊትን ክጽንበሩ ዝደልዩ ዜጋታትን ዘይሕከክ ጉድኣት ከስዕብ ምዃኑ ገሊጹ።

ትራምፕ ኣብ ዝሓለፈ ወርሒ ነሓሰ፡ ሰራዊት ኣመሪካ ትራንስጀንደር ዝኾኑ ሰባት ንከይቕበልን ንዘለዉ ድማ ካብ ስራሕ ንከሰናብትን ዘኽእል መምርሒ ኣውጺኡ ነይሩ።

ብተወሳኺ እቲ መምርሒ፡ መንግስቲ ንጥብሓት ምቕያር ጾታ ዝኸውን ባጀት ንከይህብ ዝእግድ እዩ ነይሩ።",1
"ፕረዚደንት ፔሩ ፐድሮ ፓብሎ ኩቺንስኪ፡ ካብ ስልጣኑ ንምውራድ ዝተገብረ ፈተነ ብዝተጸበዮ መገዲ ተዓዊቱሉ ኣሎ።

ኣብቲ ቤት ምኽሪ ዝለዓለ መንበር ዘለዎ ሰልፊ ፖፑላር ፎርስ፡ ነቲ ፕረዚደንት ንምውራድ ዘቕረቦ ሓሳብ ውድቂ ኮይኑ። እዚ ድማ ካብቲ ሰልፊ ዝወጹ 10 ወከልቲ ህዝቢ ነቲ ፕረዚደንት ብምድጋፎም እዩ።

እዚ ፍልልይ እዚ ኣብ መንጎ ደገፍቲ ኬይኮ ፉጂሞሪን ሓዋ ኬንጂ ፉጂሞሪን ዝተፈጥረ ኮይኑ፡ ንቁጽጽር እቲ ሰልፊ ኣብቲ ቤት ምኽሪ ኣብ ሓደጋ ዘእቱ እዩ።

ኬንጂ ፉጂሞሪ ነቲ ፕረዚደንት ዝደገፈሉ ምኽንያት፡ እቲ ብገበን ሰብኣዊ መሰላትን ብልሽውናን ተኣሲሩ ዘሎ ኣቦኡ ኣልቤርቶ ፉጂሞሪ ምሕረት ንክግበረሉ ምስቲ ፕረዚደንት ብምስምማዑ ምዃኑ ተገሊጹ።

ፕረዚደንት ኩቺንስኪ ብወገኑ፡ ዝኾነ ይኹን ፖለቲካዊ ድርድር ከምዘይገበረ ብምኽሓድ፡ ኣብ 2018 ፖለቲካዊ ምርግጋእን ቁጠባዊ ዕብየትን ንምምጻእ ለውጥታት ከም ዝገብር ቃል ኣትዩ ኣሎ።

ኣልቤርቶ ፉጂሞሪ ኣብ ፔሩ ኣዝዩ መካታዒ ዝኾነ ሰብ ኮይኑ፡ ገለ ሰባት ከም ጨካን መላኺ ክርእይዎ እንከለዉ፡ ካልኦት ድማ ንቁጠባዊ ቅልውላው ዝፈትሐን ንጸጋማውያን ዕሉላት ዘጥፈአን መራሒ ገይሮም ይርእይዎ።

ፕረዚደንት ኩቺንስኪ ንፉጂሞሪ ምሕረት እንተገይሩሉ፡ ነቶም ቀንዲ ደገፍቱ ዝኾኑ ተጣበቕቲ ሰብኣዊ መሰላትን ጸጋማውያንን ከም ዘቖጥዕ ይግመት።",1
"ብዛዕባ እቲ ሓድሽ ናይ ግብሪ ሕግን ወጽኢታት መንግስትን

ፕረዚደንት ዶናልድ ትራምፕ፡ ነቲ 1.5 ትሪልዮን ዶላር ዝግመት ናይ ግብሪ ለውጢ ሕጊ ብምፍራም፡ ኣብ ቀዳማይ ዓመት ስልጣኑ ዝዓበየ ናይ ሕጊ ዓወት ኣመዝጊቡ።

ትራምፕ ነቲ ቃል ዝኣተዎ ""ቅድሚ ልደት"" ዝብል መብጽዓ ንምፍጻም፡ ናብ ፍሎሪዳ ቅድሚ ምብጋሱ ኣብ ቤት ጻዕዳ ነቲ ሰነድ ፈሪምዎ።

እዚ ሓድሽ ሕጊ እዚ፡ ነቲ ትካላት ዝኸፍልዎ ግብሪ ካብ 35 ሚእታዊት ናብ 21 ሚእታዊት ዝቀንሰ ኮይኑ፡ ንመብዛሕትኦም ውልቀሰባት እውን ንግዚኡ ናይ ግብሪ ምንካይ ክገብር እዩ።

ፕረዚደንት ትራምፕ፡ እዚ ሕጊ እዚ ካብ ዝጸድቕ ጀሚሮም ንሰራሕተኛታቶም ተወሳኺ ክፍሊት (bonus) ንዝሃቡ ዓበይቲ ትካላት ንኣብነት ከም ቢንግን ኮምካስትን ዝኣመሰሉ ኣመስጊኑ።

ደሞክራት ብወገኖም፡ እዚ ሕጊ እዚ ንሃብታማት ጥራይ ዝጠቅምን ኣብ ውሽጢ ዓሰርተ ዓመት ድማ 1.5 ትሪልዮን ዶላር ዕዳ ዝውስኽን እዩ ብምባል ተቓዊሞምዎ።

ብተወሳኺ፡ ትራምፕ መንግስቲ ንግዚኡ ስርሑ ንክቕጽልን ንከይዕጸውን ዘኽእል ናይ ወጽኢታት ባጀት ኣጽዲቑ ኣሎ። እዚ ድማ ክሳብ ጥሪ 19 ዝጸንሕ ኮይኑ፡ ኣብ ጉዳያት ስደተኛታትን ጥዕናን ዘለዉ ዓበይቲ ፍልልያት ግን ገና መፍትሒ ኣይተረኽበሎምን።

ኣብ መወዳእታ፡ ገለ ካብቶም ላዕለዎት ኣማኸርቲ ቤት ጻዕዳ ስርሖም ገዲፎም ይወጽኡ ከምዘለዉ ተሓቢሩ።",1
